a01,Savings in the past year,Current Savings,Total Savings,Saving Frequency,Savings diversification
513,1,1,-0.149711265,1.056112399,-0.493815326
514,1,1,-0.178670233,1.056112399,-0.493815326
515,1,1,-0.103121336,1.056112399,-0.493815326
516,1,1,3.091616611,-0.757796407,-0.493815326
517,0,0,-0.236235418,-1.120578168,-0.493815326
518,1,1,-0.228914143,1.056112399,-0.493815326
519,1,1,0.069926969,1.056112399,0.934376058
520,0,0,-0.236235418,-1.120578168,-0.493815326
521,1,1,0.838660788,0.693330638,2.362567443
522,1,1,-0.218005444,1.056112399,-0.493815326
523.1,1,1,-0.202956897,1.056112399,-0.493815326
523.2,0,0,-0.236235418,-1.120578168,-0.493815326
524,0,0,-0.236235418,-1.120578168,-0.493815326
525,1,1,-0.176334081,1.056112399,0.934376058
526,0,0,-0.236235418,-1.120578168,-0.493815326
