,a01,Savings in past year,Current Savings,Total Savings,Saving Frequency,Savings diversification
3897,2785.2,0,0,0.0,0.0,1
3898,2786.0,1,1,150000.0,1.0,1
3899,2787.0,1,1,15006.0,6.0,2
3901,2788.0,1,1,35383.0,6.0,3
3904,2789.0,1,1,9903.0,6.0,1
3905,2790.0,1,1,60000.0,1.0,1
3906,2791.0,1,1,100000.0,1.0,1
3907,2792.0,1,1,5200.0,5.0,1
3909,2793.0,1,1,4280.0,6.0,2
3910,2794.0,0,0,0.0,0.0,1
3911,2795.0,1,1,1700.0,6.0,1
3912,2796.0,0,0,0.0,0.0,1
3913,2797.0,0,0,0.0,0.0,1
