,a01,Savings in the past year,Current Savings,Total Savings(Standardized),Saving Frequency(Standardized),Savings diversification,Amount of Land (in 2015),Current Land,Land Acquired,Current Value of Land,Untitled,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household
140,713.0,1,1,-0.182989785,1.056112399,-0.493815326,58.0,88.0,30.0,1060000,181,5,4.0,9,722,2.0,3.0,1.333333333
141,715.0,1,0,-0.236235418,-1.120578168,-0.493815326,5.0,5.0,0.0,250000,182,5,0.0,5,724,4.0,4.0,4.0
142,718.0,1,0,-0.236235418,-1.120578168,-0.493815326,166.0,12.0,-154.0,385000,183,10,8.0,18,727,3.0,3.0,4.0
143,724.0,1,1,-0.196301193,1.056112399,-0.493815326,2.0,2.0,0.0,200000,187,12,14.0,26,732,3.0,3.0,3.333333333
144,748.0,1,1,-0.226251862,1.056112399,-0.493815326,3.0,7.0,4.0,1350000,193,12,8.0,20,760,3.0,3.0,3.4
145,751.1,1,0,-0.236235418,-1.120578168,-0.493815326,16.0,16.0,0.0,2350000,194,8,5.0,13,763,2.666666667,2.666666667,1.8
146,751.2,1,1,-0.186317637,0.693330638,0.934376058,2.0,6.0,4.0,680000,195,9,10.0,19,764,4.0,4.0,4.0
147,752.0,1,0,-0.236235418,-1.120578168,-0.493815326,28.0,16.0,-12.0,3100000,196,13,12.0,25,765,4.0,4.0,4.0
148,753.2,1,1,-0.022620596,1.056112399,0.934376058,23.0,16.0,-7.0,1900000,197,12,13.0,25,769,4.0,4.0,4.0
149,754.0,1,1,-0.216268305,1.056112399,-0.493815326,6.0,6.0,0.0,1060000,198,8,9.0,17,770,4.0,4.0,4.0
150,764.0,1,1,0.036648449,0.693330638,-0.493815326,11.0,34.5,23.5,1720000,200,12,10.0,22,781,4.0,4.0,2.0
151,769.0,1,0,-0.236235418,-1.120578168,-0.493815326,5.0,5.0,0.0,210000,201,12,9.0,21,787,4.0,4.0,4.0
152,771.0,1,1,0.076582673,-0.757796407,-0.493815326,360.0,360.0,0.0,7080000,202,9,4.0,13,789,4.0,4.0,4.0
153,772.0,1,0,-0.236235418,-1.120578168,-0.493815326,32.66,32.66,0.0,1835000,203,10,9.0,19,790,4.0,4.0,4.0
154,782.0,1,1,0.289225762,1.056112399,0.934376058,96.0,238.0,142.0,8200000,205,13,12.0,25,801,3.0,3.0,2.833333333
155,786.0,1,1,-0.196301193,0.693330638,-0.493815326,78.0,80.0,2.0,6400000,207,10,10.0,20,805,3.0,3.0,2.5
156,787.0,1,1,0.203393802,1.056112399,0.934376058,240.0,130.0,-110.0,3600000,208,7,6.0,13,806,4.0,4.0,4.0
157,791.0,1,1,0.149795418,1.056112399,2.362567443,315.0,144.0,-171.0,3440000,209,5,10.0,15,810,4.0,4.0,4.0
158,793.0,1,0,-0.236235418,-1.120578168,-0.493815326,106.0,112.0,6.0,7020000,211,12,9.0,21,811,4.0,4.0,3.4
159,798.0,1,1,0.095218644,1.056112399,2.362567443,134.0,70.0,-64.0,2905000,212,10,12.0,22,815,4.0,4.0,4.0
160,809.0,1,0,-0.236235418,-1.120578168,-0.493815326,38.0,36.0,-2.0,3600000,214,10,9.0,19,826,4.0,4.0,4.0
161,811.0,1,0,-0.236235418,-1.120578168,-0.493815326,124.0,204.0,80.0,6120000,215,8,10.0,18,828,4.0,4.0,4.0
162,812.0,1,1,-0.220261728,0.693330638,-0.493815326,130.0,98.0,-32.0,3900000,216,12,10.0,22,829,3.0,3.0,2.0
163,821.0,1,1,-0.036564296,-0.395014646,-0.493815326,42.5,42.5,0.0,3460000,217,10,10.0,20,838,4.0,4.0,2.0
164,826.0,1,0,-0.236235418,-1.120578168,-0.493815326,167.0,8.0,-159.0,2000000,219,8,10.0,18,845,2.666666667,2.666666667,2.6
165,829.0,1,0,-0.236235418,-1.120578168,-0.493815326,32.0,2.0,-30.0,50000,221,10,10.0,20,848,4.0,4.0,3.0
166,831.0,1,0,-0.236235418,-1.120578168,-0.493815326,55.0,121.0,66.0,6750000,222,10,9.0,19,850,4.0,4.0,3.8
