a01,e01,e02,e06_sum,e07,Savings diversification,g02_1,g02,Land Acquired,g10,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household,Year
4847,1,1,0.163106826,0.693330638,-0.493815326,0.1335717,0.196799043,0.042661371,-0.136684752,0.253629251,,-1.075394795,0.207428875,0.210600998,-0.053366704,1
4858,1,0,-0.236235418,-1.120578168,-0.493815326,-0.645136141,-0.748300419,0.042661371,-0.678643256,1.277402799,0.394628721,0.862242963,0.930271042,0.895122396,1.1827291,1
4860,1,1,-0.153704687,1.056112399,2.362567443,-0.658223668,-0.247953645,0.677585734,1.296290275,-1.111402145,-1.887394839,-1.721274048,0.32790257,0.324687898,0.770697166,1
4862,1,0,-0.236235418,-1.120578168,-0.493815326,-0.677854958,-0.78801048,0.042661371,-0.706200468,-1.111402145,-0.619603973,-0.913924982,0.930271042,0.895122396,-0.053366704,1
4863.1,1,1,-0.182989785,0.693330638,-0.493815326,-0.474998293,-0.645054259,-0.084323502,-0.602095444,-1.452659995,-1.887394839,-1.882743861,0.026718333,0.039470649,0.193852457,1
4869,1,1,-0.202956897,1.056112399,-0.493815326,-0.68112684,-0.791981486,0.042661371,-0.693952818,0.253629251,-1.887394839,-1.075394795,0.478494688,0.467296522,-0.053366704,1
4871,1,1,-0.205619179,1.056112399,0.934376058,-0.671311195,-0.780068468,0.042661371,-0.669457518,-1.111402145,-1.380278492,-1.398334422,0.026718333,0.039470649,-0.053366704,1
4891,1,0,-0.236235418,-1.120578168,-0.493815326,-0.625504851,-0.724474382,0.042661371,-0.663333693,-1.111402145,-0.619603973,-0.913924982,0.930271042,0.895122396,-0.053366704,1
4892,1,1,-0.208507755,1.056112399,-0.493815326,-0.200160232,-0.724474382,-0.592262993,-0.716917161,-1.111402145,-1.887394839,-1.721274048,0.32790257,0.324687898,1.1827291,1
4899,1,1,-0.187582221,-0.757796407,-0.493815326,0.467303632,0.60184167,0.042661371,0.151135019,0.594887101,0.648186894,0.700773149,0.026718333,0.039470649,0.35866523,1
4910,1,0,-0.236235418,-1.120578168,-0.493815326,0.951542122,0.991000272,-0.201540307,-0.396181832,0.253629251,0.394628721,0.377833523,0.930271042,0.895122396,1.1827291,1
4914,1,1,2.426046205,0.693330638,-0.493815326,2.747805168,3.369632952,0.042661371,1.495314585,-2.135175693,-0.619603973,-1.398334422,0.930271042,0.895122396,1.1827291,1
4916,1,0,-0.236235418,-1.120578168,-0.493815326,-0.494629583,-0.565634136,0.042661371,-0.540857195,-1.111402145,-1.887394839,-1.721274048,0.930271042,0.895122396,1.1827291,1
4917.2,0,0,-0.236235418,-1.120578168,-0.493815326,-0.651679904,1.618419242,2.963313443,-0.43369026,-0.770144296,-0.619603973,-0.752455169,0.930271042,0.895122396,1.1827291,1
4921,1,0,-0.236235418,-1.120578168,-0.493815326,0.061590303,0.109436908,0.042661371,5.215538213,1.277402799,1.15530324,1.346652402,0.32790257,0.324687898,1.1827291,1
4922,1,1,-0.212940453,1.056112399,-0.493815326,2.450063934,3.48479213,0.628745399,1.724958018,1.277402799,1.15530324,1.346652402,0.568849959,0.552861697,0.935509939,1
4924,0,0,-0.236235418,-1.120578168,-0.493815326,1.272186527,1.578709181,0.042661371,0.356283153,1.277402799,1.408861414,1.508122215,-0.274465904,-0.245746601,-0.053366704,1
4931,0,0,-0.236235418,-1.120578168,-0.493815326,-0.553523454,0.585957645,1.546943709,-0.459410324,-0.087628598,0.141070547,0.054893897,-0.876834376,-0.816181099,-0.053366704,1
